#Celtic Events ;;;;;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109425;While visiting today, one of your bishops shows you a beautiful illuminated manuscript he found at a local abbey near his diocese. “The monks told me it was saved by one of their resourceful predecessors during a Norse raid. I thought you should have it.”;En visitant aujourd'hui," un de vos évêques vous montre un beau manuscrit illuminé qu'il a trouvé dans une abbaye locale près de son diocèse. ""Les moines m'ont dit qu'il avait été sauvé par un de leurs prédécesseurs ingénieux lors d'un raid nordique. Je pensais que vous devriez l'avoir."";;;;;;;;;;x",,,,,,,,,,
EVTOPTA1000109425;Why, thank you.;Bien, merci.;;;;;;;;;;x,,,,,,,,,,
EVTOPTB1000109425;Good, good... I’ll go study this, it looks interesting.;Bien, bien ... Je vais étudier ça, ça a l'air intéressant.;;;;;;;;;;x,,,,,,,,
EVTOPTC1000109425;I think you should have it, actually.;Je pense que vous devriez l'avoir, en fait.;;;;;;;;;;x,,,,,,,,,,
EVTDESC1000109426;I thought I saw something unusual while out taking a walk to day. Lo and behold, it was a four-leaf clover! What should I do?;J'ai cru voir quelque chose d'inhabituel en me promenant. Et le voilà, c'était un trèfle à quatre feuilles ! Que dois-je faire ?;;;;;;;;;;x,,,,,,,,,,
EVTOPTA1000109426;Keep it for myself.;Garde-le pour moi.;;;;;;;;;;x,,,,,,,,,,,,
EVTOPTB1000109426;I should give it to my spouse.;Je devrais le donner à mon épouse.;;;;;;;;;;x,,,,,,,,,,,,
EVTOPTC1000109426;Show it to my children.;Montre-le à mes enfants.;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109427;Today during court, two youths are brought in before me. They got heavily drunk the other day, and one dared to shave the hair of the other! Long hair is of utmost important in [Root.Culture.GetName] society, so this is quite a serious offense. The typical punishment is to make the offender pay two cows.;Aujourd'hui, pendant le procès, deux jeunes sont amenés devant moi. Ils se sont saoulé l'autre jour, et l'un a osé se raser les cheveux de l'autre ! Les cheveux longs sont d'une importance capitale dans la société [Root.Culture.GetName], et c'est donc un délit très grave. La punition habituelle est de faire payer deux vaches au contrevenant.;;;;;;;;;;x,,,,,
EVTOPTA1000109427;Two cows it is.;Ça fait deux vaches.;;;;;;;;;;x,,,,,,,,,,,,
EVTOPTB1000109427;Why don’t we imprison the offender instead?;Pourquoi ne pas plutôt emprisonner le délinquant ?;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109428;It’s time to play Hurling! The object of this traditional Gaelic sport is to use wooden sticks called Hurley to hit a small ball, called a sliotar, into the opposing team’s goalposts. You gather your team of fifteen men (including yourself) and face one of your courtier’s teams.;Il est temps de jouer à l'Hurling ! L'objectif de ce sport traditionnel gaélique est d'utiliser des bâtons de bois appelés Hurley pour frapper une petite balle, appelée une glissade, dans les poteaux de l'équipe adverse. Vous rassemblez votre équipe de quinze hommes (dont vous-même) et affrontez une des équipes de votre courtisan.;;;;;;;;;;x,,,,,,,,
EVTOPTA1000109428;We shall have a good game!;Nous aurons un bon match !;;;;;;;;;;x,,,,,,,,,,,,
EVTTOOLTIP1000109429;Your team loses.;Votre équipe perd.;;;;;;;;;;x,,,,,,,,,,,,
EVTTOOLTIP1000109430;Your team wins.;Votre équipe gagne.;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109429;You and the men had a good game of Hurling, even though you lost. You can still hear the sound of the hurleys hitting the sliotar.;Vous et les hommes avez bien joué à Hurling, même si vous avez perdu. Vous pouvez encore entendre le son des hurleys qui frappent la glissière.;;;;;;;;;;x,,,,,,,,,,
EVTOPTA1000109429;We should do this again.;On devrait recommencer.;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109430;Victory! At the last moment, you and your men managed to get the sliotar into the opposing team’s goalpost.;Victoire ! Au dernier moment, vous et vos hommes avez réussi à faire entrer la glissade dans le camp adverse.;;;;;;;;;;x,,,,,,,,,,
EVTOPTA1000109430;Well played everyone.;Bien joué tout le monde.;;;;;;;;;;x,,,,,,,,,,,,
EVTDESC1000109431;In the midst of battle, you start dueling with another warrior. Suddenly, however, you notice the leek he is wearing on his helmet. “By [Root.Religion.GetRandomGodName]!” you shout, “We’re on the same side, fellow Welshman!” Embarrassed, the two of you apologize before resuming fighting together.;Au milieu d'une bataille, vous commencez à vous battre avec un autre guerrier. Soudainement, cependant," vous remarquez le poireau qu'il porte sur son casque. ""Par [Root.Religion.GetRandomGodName] !” vous criez"," ""Nous sommes du même côté"," camarade Gallois !"" Embarrassé", vous vous excusez tous les deux avant de reprendre le combat ensemble.;;;;;;;;;;x
EVTOPTA1000109431;You fight very well, you know? I could use men like you.;Vous vous battez très bien, vous savez ? J'ai besoin d'hommes comme vous.;;;;;;;;;;x,,,,,,,,,,
